Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
471.5,209.5,74.44135326,36.66835698,0.7615896,0.7524937,0.7971691,0.80798435,0.1718573,0.17137067
474.5,209.5,74.44225965,36.66836123,0.8628474,0.8678566,0.91278166,0.86648214,0.118170574,0.11611096
479.5,209.5,74.4437703,36.66836829,0.9339665,0.9349495,0.9659842,0.9027706,0.087991044,0.08574457
493.5,209.5,74.44800014,36.66838797,0.30274063,0.3269553,0.36633992,0.39044008,0.19538285,0.18274428
496.5,209.5,74.44890653,36.66839217,0.18092307,0.1606268,0.15662459,0.13904761,0.06268063,0.061323415
498.5,209.5,74.4495108,36.66839497,0.30953512,0.25107557,0.27174455,0.27410087,0.083898395,0.08290311
501.5,209.5,74.45041719,36.66839915,0.36565298,0.43941325,0.4727299,0.4812594,0.22410601,0.21265739
504.5,209.5,74.45132358,36.66840333,0.35881218,0.41499823,0.46185333,0.47965655,0.22013249,0.22986622
509.5,209.5,74.45283424,36.66841028,0.21577428,0.25412342,0.25273573,0.23916359,0.10001878,0.0888297
250.5,211.5,74.37458682,36.66753828,0.2934545,0.3119385,0.32005996,0.3109555,0.19995877,0.16450043
280.5,211.5,74.38365055,36.66758553,0.27812523,0.27500537,0.3021109,0.3235492,0.2086263,0.20119187
283.5,211.5,74.38455692,36.66759022,0.65587723,0.5899317,0.6166372,0.6505805,0.14283918,0.13811143
303.5,211.5,74.39059942,36.66762129,0.76717,0.7468194,0.77756,0.7482219,0.094483,0.09774598
388.5,211.5,74.41628015,36.66774993,0.23696549,0.2055171,0.19917442,0.17635478,0.016114485,0.018440718
391.5,211.5,74.41718653,36.66775437,0.30521464,0.29204968,0.29548794,0.28770658,0.07184182,0.06842616
394.5,212.5,74.41809474,36.66751541,0.37597388,0.3749441,0.36745456,0.326192,0.04637145,0.045873303
396.5,212.5,74.418699,36.66751836,0.19340251,0.14007871,0.12330282,0.105455466,0.014577312,0.013999472
399.5,212.5,74.41960538,36.66752278,0.17989267,0.1446297,0.12702684,0.10129517,0.021810371,0.019033985
405.5,212.5,74.42141813,36.6675316,0.9886836,1.0097667,1.005651,0.8521296,0.07067554,0.07617813
421.5,212.5,74.42625216,36.66755499,1.017729,0.9791389,1.0132276,0.9449145,0.12493739,0.13444008
435.5,212.5,74.43048194,36.66757529,0.711598,0.76030326,0.77972925,0.7002935,0.1689016,0.17187835
438.5,212.5,74.43138832,36.66757962,0.8252992,0.809727,0.83656853,0.802863,0.12267621,0.13057603
440.5,212.5,74.43199258,36.6675825,0.80522156,0.78911877,0.81095135,0.7823278,0.13638641,0.1423399
443.5,212.5,74.43289896,36.66758682,0.81554097,0.79643434,0.8202024,0.7810159,0.123277284,0.13028981
454.5,212.5,74.43622236,36.6676026,0.6804931,0.6815229,0.70785326,0.67024183,0.14288999,0.14291455
457.5,212.5,74.43712874,36.66760689,0.6904861,0.66782945,0.68998694,0.69425756,0.14388886,0.14063613
