Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
258.5,200.5,74.37698223,36.67022822,0.65310895,0.62882864,0.6412762,0.62841886,0.13123435,0.13724509
261.5,200.5,74.37788863,36.67023296,0.65536284,0.6983088,0.72552097,0.6399939,0.12493739,0.1305474
286.5,201.5,74.38544394,36.67002879,0.9638353,0.9555436,0.97470605,0.94995356,0.078940965,0.087842576
292.5,201.5,74.38725675,36.67003813,1.0776175,1.0565139,1.1096197,1.0894026,0.09926297,0.106676206
294.5,201.5,74.38786102,36.67004124,1.0516268,1.0581391,1.0907508,1.0673773,0.10232558,0.11151342
297.5,201.5,74.38876742,36.67004589,1.1307621,1.1021968,1.1428409,1.1028265,0.103441864,0.11374597
300.5,201.5,74.38967383,36.67005054,1.0848,1.0637796,1.1121155,1.1164416,0.10513059,0.11179964
303.5,201.5,74.39058023,36.67005519,0.47630772,0.4560716,0.48194635,0.47885513,0.14987057,0.1457469
305.5,201.5,74.3911845,36.67005828,0.41479787,0.45008945,0.464458,0.45758858,0.14154443,0.14764218
330.5,201.5,74.39873788,36.67009665,0.9478641,0.9528158,0.9928874,0.9475492,0.083320215,0.08772808
333.5,201.5,74.39964428,36.67010122,0.9018832,0.89548486,0.93604296,0.90919507,0.07882647,0.08503757
336.5,201.5,74.40055069,36.67010579,0.9078784,0.9005243,0.93595713,0.8839786,0.07353131,0.07968515
338.5,201.5,74.40115496,36.67010883,0.91958505,0.9004365,0.9377317,0.9067621,0.077223614,0.08492307
341.5,201.5,74.40206137,36.67011338,0.8806686,0.8711843,0.9054741,0.87647945,0.07610733,0.08392128
344.5,201.5,74.40296777,36.67011793,0.90986985,0.89482653,0.9305188,0.90410024,0.07702325,0.08595349
347.5,201.5,74.40387418,36.67012247,0.958111,0.9417675,0.9820108,0.9547049,0.080372095,0.089302324
349.5,201.5,74.40447845,36.67012549,0.9656387,0.9507836,0.9901396,0.9610877,0.081459746,0.09024687
355.5,201.5,74.40629127,36.67013455,0.8961982,0.88488376,0.92124516,0.89330953,0.08672592,0.08895885
358.5,201.5,74.40719768,36.67013906,0.8975293,0.8783391,0.91354567,0.8877854,0.089349866,0.09070708
363.5,201.5,74.40870836,36.67014657,0.8607657,0.82644725,0.8622827,0.83884084,0.0941906,0.09697288
366.5,201.5,74.40961476,36.67015107,0.72792846,0.70110726,0.7199369,0.70643294,0.08713309,0.08977965
372.5,201.5,74.41142758,36.67016004,0.6273266,0.6263539,0.6546518,0.6036319,0.04509138,0.05241249
